timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:57:14.288991,colon,ClassicalQuantumMLP,0.321429,23.199057,0.293464,20,0.9,0.1,,2,4,2000,2,6,56,8026,59
2026-04-21T14:58:02.570058,colon,IterativeQNN,0.571429,47.666874,0.593088,20,0.9,0.1,,2,4,2000,2,6,56,16114,59
2026-04-21T14:58:50.147299,colon,SplitAttentionQNN,0.410714,46.901353,0.652442,20,0.9,0.1,,2,4,2000,2,6,56,8056,59
2026-04-21T14:59:13.885985,colon,ResQNet,0.535714,23.419122,0.297542,20,0.9,0.1,,2,4,2000,2,6,56,12029,59
2026-04-21T14:59:41.860564,leukemia,ClassicalQuantumMLP,0.461538,27.009489,0.430442,20,0.9,0.1,,2,4,7129,2,7,65,28542,59
2026-04-21T15:00:36.669836,leukemia,IterativeQNN,0.323077,54.096939,0.690732,20,0.9,0.1,,2,4,7129,2,7,65,57146,59
2026-04-21T15:01:32.474624,leukemia,SplitAttentionQNN,0.569231,55.089565,0.692656,20,0.9,0.1,,2,4,7129,2,7,65,28572,59
2026-04-21T15:02:00.161946,leukemia,ResQNet,0.384615,27.322458,0.342026,20,0.9,0.1,,2,4,7129,2,7,65,42803,59
