timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:27:18.593910,colon,ClassicalQuantumMLP,0.482143,33.6619,0.329853,20,0.9,0.1,,2,4,2000,2,6,56,8026,54
2026-04-21T14:28:09.943673,colon,IterativeQNN,0.535714,50.574988,0.72757,20,0.9,0.1,,2,4,2000,2,6,56,16114,54
2026-04-21T14:29:00.872818,colon,SplitAttentionQNN,0.410714,50.185686,0.714143,20,0.9,0.1,,2,4,2000,2,6,56,8056,54
2026-04-21T14:29:27.699424,colon,ResQNet,0.321429,26.49348,0.301943,20,0.9,0.1,,2,4,2000,2,6,56,12029,54
2026-04-21T14:29:57.035126,leukemia,ClassicalQuantumMLP,0.584615,28.419635,0.334908,20,0.9,0.1,,2,4,7129,2,7,65,28542,54
2026-04-21T14:30:53.016423,leukemia,IterativeQNN,0.646154,55.281167,0.677923,20,0.9,0.1,,2,4,7129,2,7,65,57146,54
2026-04-21T14:31:49.608483,leukemia,SplitAttentionQNN,0.492308,55.881981,0.686074,20,0.9,0.1,,2,4,7129,2,7,65,28572,54
2026-04-21T14:32:18.298603,leukemia,ResQNet,0.769231,28.325187,0.341309,20,0.9,0.1,,2,4,7129,2,7,65,42803,54
