timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T13:38:56.316623,colon,ClassicalQuantumMLP,0.428571,23.822004,0.300044,20,0.9,0.1,,2,4,2000,2,6,56,8026,45
2026-04-21T13:39:44.434601,colon,IterativeQNN,0.642857,47.496275,0.598955,20,0.9,0.1,,2,4,2000,2,6,56,16114,45
2026-04-21T13:40:37.955289,colon,SplitAttentionQNN,0.535714,52.892505,0.60426,20,0.9,0.1,,2,4,2000,2,6,56,8056,45
2026-04-21T13:41:02.376261,colon,ResQNet,0.607143,24.099097,0.298763,20,0.9,0.1,,2,4,2000,2,6,56,12029,45
2026-04-21T13:41:30.352959,leukemia,ClassicalQuantumMLP,0.369231,27.026141,0.420183,20,0.9,0.1,,2,4,7129,2,7,65,28542,45
2026-04-21T13:42:24.797089,leukemia,IterativeQNN,0.307692,53.666622,0.759708,20,0.9,0.1,,2,4,7129,2,7,65,57146,45
2026-04-21T13:43:19.372065,leukemia,SplitAttentionQNN,0.353846,53.775714,0.777474,20,0.9,0.1,,2,4,7129,2,7,65,28572,45
2026-04-21T13:43:46.476560,leukemia,ResQNet,0.307692,26.75242,0.32991,20,0.9,0.1,,2,4,7129,2,7,65,42803,45
