timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:10:39.700605,colon,ClassicalQuantumMLP,0.660714,23.364877,0.304685,20,0.9,0.1,,2,4,2000,2,6,56,8026,51
2026-04-21T14:11:26.755300,colon,IterativeQNN,0.642857,46.442238,0.593379,20,0.9,0.1,,2,4,2000,2,6,56,16114,51
2026-04-21T14:12:13.893113,colon,SplitAttentionQNN,0.571429,46.514638,0.605065,20,0.9,0.1,,2,4,2000,2,6,56,8056,51
2026-04-21T14:12:37.571078,colon,ResQNet,0.732143,23.359892,0.300007,20,0.9,0.1,,2,4,2000,2,6,56,12029,51
2026-04-21T14:13:05.274075,leukemia,ClassicalQuantumMLP,0.461538,26.936818,0.345854,20,0.9,0.1,,2,4,7129,2,7,65,28542,51
2026-04-21T14:14:00.895507,leukemia,IterativeQNN,0.753846,54.752671,0.849729,20,0.9,0.1,,2,4,7129,2,7,65,57146,51
2026-04-21T14:15:03.123124,leukemia,SplitAttentionQNN,0.476923,61.385129,0.817267,20,0.9,0.1,,2,4,7129,2,7,65,28572,51
2026-04-21T14:15:33.544707,leukemia,ResQNet,0.707692,29.975922,0.421209,20,0.9,0.1,,2,4,7129,2,7,65,42803,51
