timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:15:34.501107,colon,ClassicalMLP,0.321429,0.006596,0.000197,20,0.9,0.1,4,2,,2000,2,6,56,8034,52
2026-04-21T14:15:34.519847,colon,IterativeClassicalNN,0.321429,0.017601,0.000169,20,0.9,0.1,4,2,,2000,2,6,56,16122,52
2026-04-21T14:15:34.529692,colon,SplitAttentionClassicalNN,0.696429,0.009112,0.000186,20,0.9,0.1,4,2,,2000,2,6,56,8084,52
2026-04-21T14:15:34.541801,colon,ResNet,0.5,0.011009,0.00016,20,0.9,0.1,4,2,,2000,2,6,56,12037,52
2026-04-21T14:17:59.503850,leukemia,ClassicalMLP,0.646154,0.010085,0.00032,20,0.9,0.1,4,2,,7129,2,7,65,28550,52
2026-04-21T14:17:59.527392,leukemia,IterativeClassicalNN,0.723077,0.020707,0.000397,20,0.9,0.1,4,2,,7129,2,7,65,57154,52
2026-04-21T14:17:59.543401,leukemia,SplitAttentionClassicalNN,0.830769,0.014224,0.000353,20,0.9,0.1,4,2,,7129,2,7,65,28600,52
2026-04-21T14:17:59.557662,leukemia,ResNet,0.661538,0.013166,0.000351,20,0.9,0.1,4,2,,7129,2,7,65,42811,52
