timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T15:02:01.062771,colon,ClassicalMLP,0.446429,0.007567,0.000147,20,0.9,0.1,4,2,,2000,2,6,56,8034,60
2026-04-21T15:02:01.078595,colon,IterativeClassicalNN,0.642857,0.01398,0.000176,20,0.9,0.1,4,2,,2000,2,6,56,16122,60
2026-04-21T15:02:01.088108,colon,SplitAttentionClassicalNN,0.714286,0.008906,0.000152,20,0.9,0.1,4,2,,2000,2,6,56,8084,60
2026-04-21T15:02:01.099685,colon,ResNet,0.464286,0.010736,0.000151,20,0.9,0.1,4,2,,2000,2,6,56,12037,60
2026-04-21T15:04:24.314765,leukemia,ClassicalMLP,0.661538,0.009892,0.000228,20,0.9,0.1,4,2,,7129,2,7,65,28550,60
2026-04-21T15:04:24.333513,leukemia,IterativeClassicalNN,0.661538,0.016441,0.000296,20,0.9,0.1,4,2,,7129,2,7,65,57154,60
2026-04-21T15:04:24.347473,leukemia,SplitAttentionClassicalNN,0.676923,0.012826,0.000268,20,0.9,0.1,4,2,,7129,2,7,65,28600,60
2026-04-21T15:04:24.361566,leukemia,ResNet,0.661538,0.013082,0.000335,20,0.9,0.1,4,2,,7129,2,7,65,42811,60
