dataset,model,seed_count,accuracy_summary,accuracy_mean,accuracy_std,accuracy_mean_pct,accuracy_std_pct,training_time_mean_sec,training_time_std_sec,inference_time_mean_sec,inference_time_std_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params
colon,ClassicalMLP,20,53.21% +/- 14.2%,0.5321429,0.14151134530001844,53.21429,14.151134530001844,0.01482905,0.029595727880672947,0.0002886,0.0005003483418158741,20,0.9,0.1,4,2,,2000,2,6,56,8034
colon,IterativeClassicalNN,20,58.57% +/- 14.2%,0.58571435,0.14174837181809732,58.57143500000001,14.174837181809732,0.01472205,0.001993261027483407,0.00017865,1.4165469505660211e-05,20,0.9,0.1,4,2,,2000,2,6,56,16122
colon,ResNet,20,64.91% +/- 13.5%,0.6491070999999999,0.1351633575235615,64.91071,13.51633575235615,0.0102594,0.0011806550099972381,0.00014935,1.9751815372930044e-05,20,0.9,0.1,4,2,,2000,2,6,56,12037
colon,SplitAttentionClassicalNN,20,60.89% +/- 12.0%,0.60892855,0.11998527735977707,60.892855000000004,11.998527735977706,0.00969465,0.0013309879304684294,0.00015365000000000002,2.095929639236866e-05,20,0.9,0.1,4,2,,2000,2,6,56,8084
leukemia,ClassicalMLP,20,60.23% +/- 13.4%,0.6023077,0.1339596171786188,60.23077,13.395961717861878,0.01140475,0.0016633018802180326,0.00026225,3.4343274833885453e-05,20,0.9,0.1,4,2,,7129,2,7,65,28550
leukemia,IterativeClassicalNN,20,61.85% +/- 13.4%,0.6184613999999999,0.13408282495901355,61.84613999999999,13.408282495901355,0.01722235,0.002184401309645036,0.0003068,3.223205335001007e-05,20,0.9,0.1,4,2,,7129,2,7,65,57154
leukemia,ResNet,20,64.38% +/- 16.0%,0.64384615,0.16005869401904282,64.384615,16.00586940190428,0.01348975,0.0023416534840735265,0.0003409,3.426967356593566e-05,20,0.9,0.1,4,2,,7129,2,7,65,42811
leukemia,SplitAttentionClassicalNN,20,61.92% +/- 14.3%,0.6192306999999999,0.14344384994800324,61.92306999999999,14.344384994800324,0.0142792,0.001965407272645652,0.00028335000000000003,3.0114299803109804e-05,20,0.9,0.1,4,2,,7129,2,7,65,28600
