timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T13:44:10.911526,colon,ClassicalQuantumMLP,0.464286,23.181011,0.291517,20,0.9,0.1,,2,4,2000,2,6,56,8026,46
2026-04-21T13:44:57.803692,colon,IterativeQNN,0.446429,46.289888,0.584571,20,0.9,0.1,,2,4,2000,2,6,56,16114,46
2026-04-21T13:45:44.707081,colon,SplitAttentionQNN,0.517857,46.298921,0.582959,20,0.9,0.1,,2,4,2000,2,6,56,8056,46
2026-04-21T13:46:08.116697,colon,ResQNet,0.625,23.101092,0.286643,20,0.9,0.1,,2,4,2000,2,6,56,12029,46
2026-04-21T13:46:36.015581,leukemia,ClassicalQuantumMLP,0.523077,27.066431,0.338433,20,0.9,0.1,,2,4,7129,2,7,65,28542,46
2026-04-21T13:47:30.441575,leukemia,IterativeQNN,0.646154,53.726716,0.677453,20,0.9,0.1,,2,4,7129,2,7,65,57146,46
2026-04-21T13:48:24.756243,leukemia,SplitAttentionQNN,0.569231,53.609487,0.683038,20,0.9,0.1,,2,4,7129,2,7,65,28572,46
2026-04-21T13:48:52.198447,leukemia,ResQNet,0.753846,27.074361,0.34591,20,0.9,0.1,,2,4,7129,2,7,65,42803,46
