timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:48:11.603069,colon,ClassicalQuantumMLP,0.357143,23.476396,0.294556,20,0.9,0.1,,2,4,2000,2,6,56,8026,58
2026-04-21T14:48:58.536361,colon,IterativeQNN,0.642857,46.312774,0.598154,20,0.9,0.1,,2,4,2000,2,6,56,16114,58
2026-04-21T14:49:45.462414,colon,SplitAttentionQNN,0.535714,46.316613,0.586646,20,0.9,0.1,,2,4,2000,2,6,56,8056,58
2026-04-21T14:50:09.049830,colon,ResQNet,0.821429,23.267116,0.297441,20,0.9,0.1,,2,4,2000,2,6,56,12029,58
2026-04-21T14:50:36.654331,leukemia,ClassicalQuantumMLP,0.676923,26.777216,0.331747,20,0.9,0.1,,2,4,7129,2,7,65,28542,58
2026-04-21T14:51:31.387367,leukemia,IterativeQNN,0.646154,54.032172,0.679096,20,0.9,0.1,,2,4,7129,2,7,65,57146,58
2026-04-21T14:56:21.728895,leukemia,SplitAttentionQNN,0.646154,289.434306,0.884134,20,0.9,0.1,,2,4,7129,2,7,65,28572,58
2026-04-21T14:56:49.818672,leukemia,ResQNet,0.646154,27.708433,0.337164,20,0.9,0.1,,2,4,7129,2,7,65,42803,58
