timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:47:47.779098,colon,ClassicalMLP,0.660714,0.006998,0.000117,20,0.9,0.1,4,2,,2000,2,6,56,8034,58
2026-04-21T14:47:47.794808,colon,IterativeClassicalNN,0.803571,0.013499,0.000161,20,0.9,0.1,4,2,,2000,2,6,56,16122,58
2026-04-21T14:47:47.803884,colon,SplitAttentionClassicalNN,0.767857,0.008523,0.000117,20,0.9,0.1,4,2,,2000,2,6,56,8084,58
2026-04-21T14:47:47.812757,colon,ResNet,0.732143,0.00842,0.000108,20,0.9,0.1,4,2,,2000,2,6,56,12037,58
2026-04-21T14:50:09.481228,leukemia,ClassicalMLP,0.646154,0.009294,0.000234,20,0.9,0.1,4,2,,7129,2,7,65,28550,58
2026-04-21T14:50:09.499780,leukemia,IterativeClassicalNN,0.676923,0.016624,0.000324,20,0.9,0.1,4,2,,7129,2,7,65,57154,58
2026-04-21T14:50:09.513354,leukemia,SplitAttentionClassicalNN,0.646154,0.012336,0.000264,20,0.9,0.1,4,2,,7129,2,7,65,28600,58
2026-04-21T14:50:09.525532,leukemia,ResNet,0.738462,0.010923,0.000297,20,0.9,0.1,4,2,,7129,2,7,65,42811,58
