timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:42:41.422751,colon,ClassicalMLP,0.428571,0.007621,0.000149,20,0.9,0.1,4,2,,2000,2,6,56,8034,57
2026-04-21T14:42:41.437730,colon,IterativeClassicalNN,0.375,0.013877,0.000172,20,0.9,0.1,4,2,,2000,2,6,56,16122,57
2026-04-21T14:42:41.447970,colon,SplitAttentionClassicalNN,0.339286,0.00935,0.000134,20,0.9,0.1,4,2,,2000,2,6,56,8084,57
2026-04-21T14:42:41.458928,colon,ResNet,0.339286,0.010456,0.000154,20,0.9,0.1,4,2,,2000,2,6,56,12037,57
2026-04-21T14:45:03.368744,leukemia,ClassicalMLP,0.676923,0.01076,0.000241,20,0.9,0.1,4,2,,7129,2,7,65,28550,57
2026-04-21T14:45:03.385093,leukemia,IterativeClassicalNN,0.753846,0.01506,0.000261,20,0.9,0.1,4,2,,7129,2,7,65,57154,57
2026-04-21T14:45:03.399696,leukemia,SplitAttentionClassicalNN,0.646154,0.013562,0.000254,20,0.9,0.1,4,2,,7129,2,7,65,28600,57
2026-04-21T14:45:03.414333,leukemia,ResNet,0.753846,0.013791,0.000325,20,0.9,0.1,4,2,,7129,2,7,65,42811,57
