timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T13:33:16.945633,colon,ClassicalMLP,0.5,0.010414,0.000132,20,0.9,0.1,4,2,,2000,2,6,56,8034,44
2026-04-21T13:33:16.958581,colon,IterativeClassicalNN,0.642857,0.01206,0.00019,20,0.9,0.1,4,2,,2000,2,6,56,16122,44
2026-04-21T13:33:16.968561,colon,SplitAttentionClassicalNN,0.642857,0.009312,0.000147,20,0.9,0.1,4,2,,2000,2,6,56,8084,44
2026-04-21T13:33:16.978255,colon,ResNet,0.696429,0.009137,0.00016,20,0.9,0.1,4,2,,2000,2,6,56,12037,44
2026-04-21T13:35:42.558389,leukemia,ClassicalMLP,0.646154,0.010831,0.00027,20,0.9,0.1,4,2,,7129,2,7,65,28550,44
2026-04-21T13:35:42.580428,leukemia,IterativeClassicalNN,0.661538,0.020747,0.000353,20,0.9,0.1,4,2,,7129,2,7,65,57154,44
2026-04-21T13:35:42.595716,leukemia,SplitAttentionClassicalNN,0.661538,0.014312,0.000347,20,0.9,0.1,4,2,,7129,2,7,65,28600,44
2026-04-21T13:35:42.609145,leukemia,ResNet,0.507692,0.012532,0.000342,20,0.9,0.1,4,2,,7129,2,7,65,42811,44
