timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:21:33.294132,colon,ClassicalQuantumMLP,0.607143,33.060999,0.411634,20,0.9,0.1,,2,4,2000,2,6,56,8026,53
2026-04-21T14:22:28.955924,colon,IterativeQNN,0.625,54.916387,0.697165,20,0.9,0.1,,2,4,2000,2,6,56,16114,53
2026-04-21T14:23:19.031525,colon,SplitAttentionQNN,0.607143,49.402126,0.606248,20,0.9,0.1,,2,4,2000,2,6,56,8056,53
2026-04-21T14:23:43.316217,colon,ResQNet,0.625,23.967289,0.294429,20,0.9,0.1,,2,4,2000,2,6,56,12029,53
2026-04-21T14:24:12.844968,leukemia,ClassicalQuantumMLP,0.384615,28.646568,0.345534,20,0.9,0.1,,2,4,7129,2,7,65,28542,53
2026-04-21T14:25:12.709729,leukemia,IterativeQNN,0.769231,59.104243,0.737946,20,0.9,0.1,,2,4,7129,2,7,65,57146,53
2026-04-21T14:26:13.364785,leukemia,SplitAttentionQNN,0.446154,59.760354,0.850185,20,0.9,0.1,,2,4,7129,2,7,65,28572,53
2026-04-21T14:26:43.517801,leukemia,ResQNet,0.661538,29.752497,0.354516,20,0.9,0.1,,2,4,7129,2,7,65,42803,53
