timestamp,dataset,model,accuracy,training_time_sec,inference_time_sec,epochs,test_size,learning_rate,hidden_dim,n_chunks,num_qubits,input_dim,num_classes,train_size,test_count,total_params,seed
2026-04-21T14:10:15.976555,colon,ClassicalMLP,0.660714,0.007307,0.000146,20,0.9,0.1,4,2,,2000,2,6,56,8034,51
2026-04-21T14:10:15.993082,colon,IterativeClassicalNN,0.714286,0.014677,0.000169,20,0.9,0.1,4,2,,2000,2,6,56,16122,51
2026-04-21T14:10:16.003018,colon,SplitAttentionClassicalNN,0.642857,0.008895,0.000148,20,0.9,0.1,4,2,,2000,2,6,56,8084,51
2026-04-21T14:10:16.013250,colon,ResNet,0.767857,0.009475,0.000139,20,0.9,0.1,4,2,,2000,2,6,56,12037,51
2026-04-21T14:12:37.919888,leukemia,ClassicalMLP,0.661538,0.013298,0.000268,20,0.9,0.1,4,2,,7129,2,7,65,28550,51
2026-04-21T14:12:37.940766,leukemia,IterativeClassicalNN,0.723077,0.019412,0.000321,20,0.9,0.1,4,2,,7129,2,7,65,57154,51
2026-04-21T14:12:37.957250,leukemia,SplitAttentionClassicalNN,0.661538,0.015581,0.00027,20,0.9,0.1,4,2,,7129,2,7,65,28600,51
2026-04-21T14:12:37.973572,leukemia,ResNet,0.676923,0.014638,0.000354,20,0.9,0.1,4,2,,7129,2,7,65,42811,51
